"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         213,      -4.154760321,     -0.9079994948,       -1.62561152,       2.088674451
          0,           0,         214,      -4.165029363,     -0.9177500735,      -1.641075727,       2.078177091
          0,           0,         215,      -4.166247971,     -0.9188927581,      -1.643400996,       2.076925449
          0,           0,         216,      -4.168589729,     -0.9210978107,      -1.647635317,       2.074509828
          0,           0,         217,      -4.172881909,      -0.925158687,      -1.654903202,       2.070070362
          0,           0,         218,      -4.180008828,     -0.9319171446,      -1.666696275,       2.062739153
          0,           0,         219,      -4.180818551,     -0.9326761857,      -1.668318091,       2.061900433
          0,           0,         220,      -4.182368586,     -0.9341346299,      -1.671332164,       2.060293771
          0,           0,         221,      -4.185295672,     -0.9369016365,      -1.676634641,       2.057252405
          0,           0,         222,      -4.190403511,     -0.9417435574,      -1.685439383,       2.051969446
          0,           0,         223,      -4.197948578,     -0.9488827104,      -1.699478925,       2.044315264
          0,           0,         224,      -4.198789117,     -0.9496631334,      -1.701622799,       2.043450507
          0,           0,         225,       -4.20043188,     -0.9512003443,      -1.705334758,       2.041748191
          0,           0,         226,      -4.203534296,     -0.9541221597,      -1.711589399,       2.038520275
          0,           0,         227,      -4.208635648,     -0.9589596972,      -1.721470867,       2.033255147
          0,           0,         228,      -4.209161334,     -0.9594492705,      -1.722862211,       2.032704328
          0,           0,         229,      -4.210218637,     -0.9604406793,      -1.725366286,       2.031589068
          0,           0,         230,       -4.21226289,      -0.962373765,       -1.72963943,       2.029425316
          0,           0,         231,      -4.215728407,     -0.9656715199,      -1.736656705,       2.025787905
          0,           0,         232,      -4.216060509,     -0.9659817555,      -1.737595239,       2.025433746
          0,           0,         233,      -4.216731194,      -0.966612509,      -1.739329756,       2.024715279
          0,           0,         234,      -4.218041538,     -0.9678549912,      -1.742390865,       2.023308706
          0,           0,         235,      -4.220323491,     -0.9700315212,      -1.747574373,       2.020880804
          0,           0,         236,      -4.223197712,      -0.972770489,      -1.756121047,       2.017940706
          0,           0,         237,      -4.223400687,     -0.9729552872,      -1.757454853,       2.017718022
          0,           0,         238,      -4.223859786,     -0.9733810616,      -1.759739019,       2.017209562
          0,           0,         239,      -4.224830112,     -0.9742989672,       -1.76346573,       2.016137529
          0,           0,         240,      -4.226320684,     -0.9757278062,       -1.76944465,       2.014538256
          0,           0,         241,      -4.226404231,     -0.9758020148,      -1.770303259,       2.014435845
          0,           0,         242,      -4.226631104,     -0.9760116137,       -1.77181574,       2.014164119
          0,           0,         243,      -4.227181387,     -0.9765342683,      -1.774362983,       2.013521781
          0,           0,         244,      -4.228096304,     -0.9774119233,      -1.778616913,       2.012498388
          0,           0,         245,      -4.228137789,     -0.9774471756,      -1.779205864,       2.012442316
          0,           0,         246,      -4.228258584,      -0.977556715,      -1.780278357,       2.012288632
          0,           0,         247,       -4.22856714,     -0.9778468582,      -1.782154564,       2.011913964
          0,           0,         248,      -4.229101709,     -0.9783520868,      -1.785387114,       2.011299789
          0,           0,         249,      -4.229041723,     -0.9782408886,      -1.791022702,       2.011476914
          0,           0,         250,      -4.228917761,     -0.9781107072,      -1.792023656,       2.011599244
          0,           0,         251,      -4.228786625,     -0.9779642621,      -1.793644374,       2.011716311
          0,           0,         252,      -4.228748561,     -0.9778953121,      -1.796192632,       2.011722964
          0,           0,         253,      -4.228580031,      -0.977670377,      -1.800368429,       2.011943412
          0,           0,         254,      -4.228498066,     -0.9775793837,      -1.801025245,       2.012023519
          0,           0,         255,      -4.228427597,     -0.9774898696,      -1.802139617,       2.012082011
          0,           0,         256,      -4.228473622,      -0.977498685,       -1.80397046,       2.012007902
          0,           0,         257,      -4.228572856,     -0.9775236202,      -1.807128532,       2.011935176
          0,           0,         258,       -4.22854091,     -0.9774805906,      -1.807607296,       2.011967251
          0,           0,         259,       -4.22852977,     -0.9774477316,      -1.808465164,       2.011974068
          0,           0,         260,       -4.22861677,     -0.9774931807,       -1.80995206,       2.011876251
          0,           0,         261,      -4.228807463,     -0.9776005106,      -1.812585891,        2.01171713
          0,           0,         262,      -4.228344118,     -0.9769429444,      -1.817573713,       2.012551074
          0,           0,         263,      -4.228216447,     -0.9767927142,      -1.818577726,       2.012701122
          0,           0,         264,      -4.228109888,     -0.9766370064,      -1.820155446,       2.012838391
          0,           0,         265,      -4.228199252,     -0.9766253697,      -1.822609336,       2.012800502
          0,           0,         266,      -4.228438595,     -0.9766580981,      -1.826875418,       2.012779973
          0,           0,         267,      -4.228430568,     -0.9766233379,      -1.827589555,       2.012803117
          0,           0,         268,      -4.228516421,     -0.9766547613,      -1.828801377,       2.012737516
          0,           0,         269,       -4.22889269,     -0.9769239385,      -1.830837464,       2.012393336
          0,           0,         270,      -4.229678524,     -0.9774978585,      -1.834598483,       2.011748955
          0,           0,         271,      -4.229736093,     -0.9775284234,      -1.835178384,        2.01170395
          0,           0,         272,      -4.229903303,     -0.9776424435,       -1.83623213,       2.011556405
          0,           0,         273,      -4.230343516,     -0.9779798193,      -1.838116073,       2.011150498
